Month, birthstones-mod 2012 git, 2016 U.S.
January, !Alexandrite, Garnet
February, Amethyst, Amethyst
March, Aquamarine, Aquamarine
April, Diamond, Diamond
May, Emerald, Emerald
June, !Garnet, Alexandrite [see also Pearl]
July, !Opal, Ruby
August, Peridot, Peridot [see also Sardonyx or Spinel]
September, !Ruby, Sapphire
October, !Sapphire, Opal [see also Tourmaline]
November, Topaz, Topaz [see also Citrine]
December, Zircon, Zircon [see also Tanzanite or Turquoise]
SOURCE,birthstones-mod 2012 git by Doc22,https://www.americangemsociety.org/en/birthstones